Township Name,Sale date,Street,Type,Tenure,Storey,Bedrooms,Land area,Built-up,Price,Price PSF
"TAMAN MUTIARA RINI, Skudai, Johor",10/02/2023,JALAN JAYA 8,Terrace House - intermediate,Leasehold,2,-,"1,604 sq. ft.",-,"RM 780,000",RM 486
"TAMAN MUTIARA RINI, Skudai, Johor",20/01/2023,JALAN JASA 47,Terrace House - end lot,Leasehold,2,-,"1,647 sq. ft.",-,"RM 650,000",RM 395
"TAMAN MUTIARA RINI, Skudai, Johor",14/01/2023,JALAN JASA 31,Terrace House - intermediate,Leasehold,2,-,"1,540 sq. ft.",-,"RM 700,000",RM 455
"TAMAN MUTIARA RINI, Skudai, Johor",09/01/2023,JALAN UTAMA 19,Terrace House - corner lot,Leasehold,2,-,"3,035 sq. ft.",-,"RM 530,000",RM 175
"TAMAN MUTIARA RINI, Skudai, Johor",04/01/2023,JALAN JAYA 5,Terrace House - corner lot,Leasehold,2,-,"3,197 sq. ft.",-,"RM 850,000",RM 266
"TAMAN MUTIARA RINI, Skudai, Johor",03/01/2023,JALAN BESTARI 80,Terrace House - intermediate,Leasehold,2,-,"1,539 sq. ft.",-,"RM 665,000",RM 432
"TAMAN MUTIARA RINI, Skudai, Johor",30/12/2022,JALAN BESTARI 12,Terrace House - intermediate,Leasehold,2,-,"1,647 sq. ft.",-,"RM 720,000",RM 437
"TAMAN MUTIARA RINI, Skudai, Johor",29/12/2022,JALAN BESTARI 36,Terrace House - intermediate,Leasehold,2,-,"1,540 sq. ft.",-,"RM 750,000",RM 487
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",13/03/2023,JALAN PERMAS 1,Terrace House - intermediate,Freehold,2,-,"1,647 sq. ft.",-,"RM 450,000",RM 273
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",28/02/2023,JALAN PERMAS 11/15,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 480,000",RM 369
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",28/02/2023,JALAN PERMAS 1/27,Terrace House - intermediate,Freehold,1,-,"1,647 sq. ft.",-,"RM 450,000",RM 273
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",16/02/2023,JALAN PERMAS 7/2,Terrace House - intermediate,Freehold,2,-,732 sq. ft.,-,"RM 80,000",RM 109
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",15/02/2023,JALAN PERMAS 6/4,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 550,000",RM 357
"BANDAR BARU PERMAS JAYA, Permas Jaya, Johor",08/02/2023,JALAN PERMAS 15/5,Terrace House - intermediate,Freehold,2,-,"1,539 sq. ft.",-,"RM 620,000",RM 403
